City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Wuwei,CN,2022-09-24 20:32:59,37.9281,102.6414,55.98,38,83,2.3
173,Esperance,AU,2022-09-24 20:30:51,-33.8667,121.9,56.3,59,99,9.57
174,Griffith,US,2022-09-24 20:33:00,41.5284,-87.4237,77.14,58,100,11.5
175,Dikson,RU,2022-09-24 20:33:01,73.5069,80.5464,32.92,72,100,20.15
176,Ostersund,SE,2022-09-24 20:26:39,63.1792,14.6357,47.61,100,75,8.99
177,Yumen,CN,2022-09-24 20:33:02,40.2833,97.2,58.46,17,0,4.72
178,Namibe,AO,2022-09-24 20:33:03,-15.1961,12.1522,62.35,84,54,1.99
179,Broome,US,2022-09-24 20:33:03,42.2506,-75.833,67.17,58,0,5.01
180,Vienne,AT,2022-09-24 20:32:10,48.2085,16.3721,58.37,81,0,2.3
181,Quetta,PK,2022-09-24 20:33:05,30.199,67.0097,67.89,20,0,0.4
182,Kodiak,US,2022-09-24 20:33:05,57.79,-152.4072,51.31,71,40,4.61
183,Port Hedland,AU,2022-09-24 20:33:06,-20.3167,118.5667,71.65,88,0,8.05
184,Bismarck,US,2022-09-24 20:32:50,46.8083,-100.7837,69.64,46,0,26.46
185,Olafsvik,IS,2022-09-24 20:27:42,64.8945,-23.7142,52.52,94,100,42.5
186,Beringovskiy,RU,2022-09-24 20:34:08,63.05,179.3167,37.27,78,89,12.95
187,Brownwood,US,2022-09-24 20:33:44,31.7093,-98.9912,98.6,34,0,11.54
188,Caravelas,BR,2022-09-24 20:30:51,-17.7125,-39.2481,70.54,83,100,13.24
189,Vanimo,PG,2022-09-24 20:34:09,-2.6741,141.3028,75.51,83,89,5.1
190,Alyangula,AU,2022-09-24 20:34:10,-13.8483,136.4192,75.22,66,75,7.81
191,Zhangye,CN,2022-09-24 20:34:11,38.9342,100.4517,58.53,24,9,5.86
192,Baykit,RU,2022-09-24 20:34:12,61.67,96.37,30.72,98,97,1.86
193,Ulma,DE,2022-09-24 20:34:13,48.3984,9.9916,54.48,94,99,4.16
194,Arkhangelsk,RU,2022-09-24 20:34:13,64.5401,40.5433,39.31,75,0,11.18
195,Tanout,NE,2022-09-24 20:34:14,14.9709,8.8879,93.65,20,97,8.84
196,Bambous Virieux,MU,2022-09-24 20:34:15,-20.3428,57.7575,70.21,78,40,14.97
197,Arraial Do Cabo,BR,2022-09-24 20:34:16,-22.9661,-42.0278,69.76,68,0,13.8
198,Tazmalt,DZ,2022-09-24 20:34:17,36.3868,4.3989,76.44,44,75,11.99
199,Hofn,IS,2022-09-24 20:34:17,64.2539,-15.2082,51.26,94,100,30.04
200,Kavaratti,IN,2022-09-24 20:26:23,10.5669,72.642,81.84,72,63,11.59
201,Agadir,MA,2022-09-24 20:34:19,30.4202,-9.5982,70.25,73,100,3.11
202,Kudahuvadhoo,MV,2022-09-24 20:28:03,2.6708,72.8944,82.99,74,85,15.14
203,Bulolo,PG,2022-09-24 20:34:20,-7.2,146.65,69.58,92,100,1.83
204,Vestmanna,FO,2022-09-24 20:34:21,62.1564,-7.1664,50.92,100,100,21.85
205,Sault Sainte Marie,CA,2022-09-24 20:33:45,46.5168,-84.3333,54.16,74,100,5.75
206,Amasia,TR,2022-09-24 20:34:22,40.6533,35.8331,55.13,89,4,3.78
207,Atherton,GB,2022-09-24 20:34:23,53.5237,-2.4935,53.15,72,74,4.74
208,Nha Trang,VN,2022-09-24 20:34:23,12.25,109.1833,77.0,92,100,4.32
209,Zhigansk,RU,2022-09-24 20:34:24,66.7697,123.3711,29.68,96,100,8.01
210,San Pedro De Macoris,DO,2022-09-24 20:34:25,18.4616,-69.2972,90.21,78,100,7.52
211,Kabrai,IN,2022-09-24 20:34:25,25.4167,80.0167,78.08,83,100,7.49
212,Provideniya,RU,2022-09-24 20:26:21,64.3833,-173.3,36.77,68,98,8.66
213,Calolbon,PH,2022-09-24 20:34:27,13.596,124.0991,80.56,84,100,15.86
214,Hualmay,PE,2022-09-24 20:34:28,-11.0964,-77.6139,65.44,71,28,12.97
215,Liyang,CN,2022-09-24 20:34:29,29.7057,118.2862,60.03,79,52,1.63
216,Iqaluit,CA,2022-09-24 20:24:59,63.7506,-68.5145,37.13,74,20,18.41
217,Lompoc,US,2022-09-24 20:34:30,34.6391,-120.4579,91.02,70,20,8.05
218,Sitka,US,2022-09-24 20:34:30,57.0531,-135.33,57.09,67,100,10.36
219,San Cristobal,VE,2022-09-24 20:34:31,7.7669,-72.225,80.78,79,49,5.66
220,Vallenar,CL,2022-09-24 20:32:07,-28.5708,-70.7581,66.9,42,0,9.75
221,Garowe,SO,2022-09-24 20:34:32,8.4054,48.4845,77.13,66,68,11.32
222,Souillac,MU,2022-09-24 20:34:33,-20.5167,57.5167,70.18,78,40,14.97
223,Lapao,BR,2022-09-24 20:34:33,-11.3833,-41.8319,70.9,81,100,8.08
224,Imbituba,BR,2022-09-24 20:34:34,-28.24,-48.6703,58.84,81,0,4.29
225,Birao,CF,2022-09-24 20:34:34,10.2849,22.7882,74.5,84,90,3.04
