City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Hithadhoo,MV,-0.6,73.0833,79.45,80,100,14.18,moderate rain
177,Saskylakh,RU,71.9167,114.0833,21.87,97,85,6.08,overcast clouds
178,Aykhal,RU,66.0,111.5,18.59,95,100,8.5,overcast clouds
179,Vanavara,RU,60.34,102.2797,27.27,93,99,3.65,overcast clouds
180,Atambua,ID,-9.1061,124.8925,74.73,83,85,2.08,overcast clouds
181,Baiyin,CN,36.5583,104.2081,57.79,47,44,4.59,scattered clouds
182,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,6.91,scattered clouds
183,Sur,OM,22.5667,59.5289,80.17,76,6,14.38,clear sky
184,Lompoc,US,34.6391,-120.4579,87.01,75,20,13.8,mist
185,Rocha,UY,-34.4833,-54.3333,54.0,94,0,6.31,clear sky
186,Kruisfontein,ZA,-34.0033,24.7314,63.88,96,100,8.55,overcast clouds
187,Mullingar,IE,53.5333,-7.35,48.67,94,100,8.86,overcast clouds
188,Olafsvik,IS,64.8945,-23.7142,44.46,59,98,8.03,overcast clouds
189,Lensk,RU,60.7253,114.9278,30.15,83,100,2.33,overcast clouds
190,Leningradskiy,RU,69.3833,178.4167,28.06,89,100,2.46,overcast clouds
191,Ust-Kuyga,RU,70.0167,135.6,24.46,93,100,4.65,overcast clouds
192,Sistranda,NO,63.7256,8.834,55.36,71,100,21.32,overcast clouds
193,Hamilton,US,39.1834,-84.5333,64.62,42,75,9.22,broken clouds
194,Dikson,RU,73.5069,80.5464,32.36,67,100,6.38,overcast clouds
195,Gualaquiza,EC,-3.4,-78.55,73.49,64,90,2.75,overcast clouds
196,Hami,CN,42.8,93.45,66.6,32,0,11.14,clear sky
197,Necochea,AR,-38.5473,-58.7368,46.06,71,0,5.48,clear sky
198,Florianopolis,BR,-27.6146,-48.5012,69.03,65,75,10.36,light rain
199,San Andres,CO,12.5847,-81.7006,84.22,79,100,4.61,overcast clouds
200,Aklavik,CA,68.2191,-135.0107,32.36,100,100,16.84,snow
201,Khandyga,RU,62.6667,135.6,35.73,99,100,3.13,light rain
202,Ulaanbaatar,MN,47.9077,106.8832,35.73,69,0,0.0,clear sky
203,Nizwa,OM,22.9333,57.5333,78.89,60,0,3.0,clear sky
204,Auki,SB,-8.7676,160.7034,81.81,66,77,4.59,broken clouds
205,Bozoum,CF,6.3193,16.3799,65.53,98,75,2.21,broken clouds
206,Bluff,NZ,-46.6,168.3333,53.87,85,71,2.73,broken clouds
207,Andrews,US,32.3187,-102.5457,88.41,24,0,3.44,clear sky
208,Vidin,BG,43.99,22.8725,60.89,79,0,7.7,clear sky
209,Port Alfred,ZA,-33.5906,26.891,64.18,99,100,7.0,light rain
210,Beringovskiy,RU,63.05,179.3167,33.39,77,81,11.86,broken clouds
211,Sancti Spiritus,CU,21.9297,-79.4425,79.47,88,100,14.58,overcast clouds
212,Suileng,CN,47.25,127.0833,55.26,94,59,4.83,broken clouds
213,Mackenzie,CA,55.2999,-123.1698,71.82,43,0,6.91,clear sky
214,Veraval,IN,20.9,70.3667,78.37,77,1,6.89,clear sky
215,Hilo,US,19.7297,-155.09,85.28,79,100,8.05,overcast clouds
216,Road Town,VG,18.4167,-64.6167,86.04,74,40,6.91,scattered clouds
217,Gravdal,NO,68.1214,13.5031,48.09,76,0,1.14,clear sky
218,Filadelfia,US,39.9523,-75.1638,70.99,43,40,14.97,scattered clouds
219,Itaituba,BR,-4.2761,-55.9836,93.36,52,0,5.75,clear sky
220,Chateaubelair,VC,13.2833,-61.25,79.32,83,20,9.22,few clouds
221,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,11.5,broken clouds
222,Mount Isa,AU,-20.7333,139.5,64.17,94,100,8.05,moderate rain
223,Te Anau,NZ,-45.4167,167.7167,50.72,81,90,0.81,overcast clouds
224,Brokopondo,SR,4.75,-55.1667,86.27,57,97,3.44,overcast clouds
225,Sunnyvale,US,37.3688,-122.0363,86.36,55,0,11.5,smoke
226,Kathu,TH,7.9178,98.3332,84.69,99,100,17.54,overcast clouds
227,Acajutla,SV,13.5928,-89.8275,81.03,80,81,4.34,broken clouds
228,Aksu,CN,41.1231,80.2644,66.67,25,0,2.59,clear sky
229,Port Augusta,AU,-32.5,137.7667,52.68,77,15,9.37,few clouds
230,Ngunguru,NZ,-35.6167,174.5,60.24,70,100,14.14,overcast clouds
231,Brae,GB,60.3964,-1.353,51.03,90,66,13.33,broken clouds
232,Ahipara,NZ,-35.1667,173.1667,62.98,70,100,12.33,moderate rain
233,Lodhikheda,IN,21.5833,78.8333,72.95,88,65,5.3,broken clouds
234,Antalaha,MG,-14.9003,50.2788,66.87,80,60,7.05,light rain
235,Saint-Augustin,CA,51.226,-58.6502,54.79,97,86,6.2,overcast clouds
