City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
363,Lishui,CN,70.63,scattered clouds,28.4604,119.9103,Bayi Hotel
364,Karratha,AU,70.07,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
367,Saquarema,BR,73.54,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
369,Teknaf,BD,77.56,overcast clouds,20.8624,92.3058,Forestry Guesthouse
372,Mastic Beach,US,70.11,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
373,Kilindoni,TZ,75.72,few clouds,-7.9139,39.6668,Bustani B&B
375,Sinnamary,GF,79.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
376,Mitu,CO,79.68,overcast clouds,1.1983,-70.1733,
378,Mangrol,IN,78.94,clear sky,21.1167,70.1167,Hotel The Royal Honours
383,Bara,NG,73.6,broken clouds,10.3744,10.7288,
387,Piney Green,US,75.9,overcast clouds,34.716,-77.3202,Holiday City MHC
388,Pierre,US,77.27,few clouds,44.3683,-100.351,Ramkota Hotel
390,Bani Walid,LY,78.15,broken clouds,31.7566,13.9942,نيك بلاش
393,Fukue,JP,73.8,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
395,Narasannapeta,IN,78.48,scattered clouds,18.4167,84.05,AVK events and catering
396,Sanming,CN,70.3,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
403,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
404,Nishihara,JP,78.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
407,Baghdad,IQ,71.51,clear sky,33.3406,44.4009,Baghdad Hotel
412,Los Llanos De Aridane,ES,71.13,clear sky,28.6585,-17.9182,Valle Aridane
413,Touros,BR,76.71,clear sky,-5.1989,-35.4608,INN NEW HORIZON
415,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
423,Bandarbeyla,SO,77.5,broken clouds,9.4942,50.8122,JABIR HOTEL
424,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
427,Gamba,GA,75.51,overcast clouds,-2.65,10.0,
431,Biak,ID,75.58,scattered clouds,-0.9131,122.8766,Penginapan Kim
433,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
435,Methoni,GR,73.22,few clouds,36.8197,21.7049,Methoni Beach Hotel
436,Port Moresby,PG,74.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
437,Fomboni,KM,75.61,clear sky,-12.28,43.7425,Auberge les abou
438,Tamandare,BR,74.05,clear sky,-8.7597,-35.1047,Pousada 100 Passos
441,Fuerte Olimpo,PY,75.31,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
449,Trairi,BR,78.3,clear sky,-3.2778,-39.2689,janelas do mar
452,Doka,SD,75.11,broken clouds,13.5167,35.7667,منصور عثمان
454,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
456,Garowe,SO,79.84,overcast clouds,8.4054,48.4845,Curubo Hotel
458,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
464,Omboue,GA,75.13,light rain,-1.5746,9.2618,Hotel Olako
467,Merauke,ID,78.84,overcast clouds,-8.4667,140.3333,
473,Sesheke,ZM,72.99,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
476,Dingle,PH,75.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
478,Cap Malheureux,MU,71.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
479,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
483,Fort Morgan,US,77.65,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
484,Thinadhoo,MV,78.39,overcast clouds,0.5333,72.9333,
487,Mlimba,TZ,71.91,scattered clouds,-8.8,35.8167,California Lodge
488,Martapura,ID,73.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
491,Majene,ID,76.1,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
498,Vaitape,PF,78.33,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
499,Mandiana,GN,74.12,broken clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
505,Pontian Kecil,MY,75.52,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
509,Mae Sai,TH,70.5,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
513,Praia,CV,79.9,scattered clouds,14.9215,-23.5087,LT Aparthotel
514,Avera,US,78.85,broken clouds,33.194,-82.5271,
515,Wewak,PG,79.39,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
516,Naze,JP,75.45,clear sky,28.3667,129.4833,Shishime Hotel
521,Dedougou,BF,77.79,overcast clouds,12.4667,-3.4667,Hôtel Bon Séjour
523,Hobyo,SO,77.47,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
526,Bowen,AU,73.76,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
531,Cukai,MY,76.06,light rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
533,Salalah,OM,77.65,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
540,Yaan,NG,72.84,light rain,7.3833,8.5667,
546,Mulanje,MW,73.85,broken clouds,-16.0316,35.5,Mulanje Motel
547,Diglur,IN,73.85,overcast clouds,18.55,77.6,Bogulwar Nivas
550,Buzmeyin,TM,70.27,clear sky,38.0507,58.2056,
552,Nchelenge,ZM,77.27,broken clouds,-9.3451,28.734,KD Travellers Home
560,Itoman,JP,79.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
562,Flagstaff,US,77.32,broken clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
571,Marbella,ES,75.25,clear sky,36.5154,-4.8858,Hotel Don Pepe Gran Meliá
576,Grand Gaube,MU,72.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
577,Axim,GH,75.38,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
578,Padang,ID,75.33,light rain,-0.9492,100.3543,Mercure Padang
579,San Cristobal,VE,77.86,overcast clouds,7.7669,-72.225,Pirineos
581,Cortez,US,76.03,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
582,Mayo,US,71.71,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
584,Kupang,ID,77.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
585,Panuco,MX,78.98,overcast clouds,22.05,-98.1667,Hotel Plaza
591,Tsogni,GA,74.79,overcast clouds,-2.7942,10.0988,
595,Zambezi,ZM,70.25,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
596,Nieves,PH,74.8,overcast clouds,15.3274,120.9485,Bill's Inn
601,Kaseda,JP,73.67,few clouds,31.4167,130.3167,Sun Stay Kaseda
605,Shimoda,JP,71.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
611,Tautira,PF,77.38,light rain,-17.7333,-149.15,Pension Oaoa
616,Labuhan,ID,75.94,scattered clouds,-6.8844,112.2051,DoubleFAG
619,Guiglo,CI,71.06,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
620,Bentiu,SS,74.73,clear sky,9.2333,29.8333,Mandela hôtel
622,Tezu,IN,73.51,few clouds,27.9167,96.1667,Circuit House
623,Modasa,IN,78.84,broken clouds,23.4667,73.3,HOTEL SUN SHINE
628,Eyl,SO,79.03,overcast clouds,7.9803,49.8164,Amiin Hotel
629,Sarai Sidhu,PK,79.34,clear sky,30.5949,71.9698,Al Ghani Villas
